id,dim1,dim2,dim3,cid
194,73,68,65,0
320,76,68,61,0
321,84,80,77,0
322,108,104,101,0
323,120,116,113,0
324,107,103,100,0
325,79,75,72,0
447,100,93,85,0
448,75,68,61,0
449,83,81,77,0
450,87,85,81,0
451,104,102,98,0
452,95,92,89,0
573,98,91,83,0
574,95,88,80,0
575,85,78,70,0
576,75,69,61,0
577,93,92,88,0
578,105,104,100,0
579,99,98,94,0
580,93,92,88,0
581,79,78,74,0
582,78,73,68,0
583,96,87,80,0
584,76,67,60,0
701,91,84,76,0
702,125,118,110,0
703,113,106,98,0
704,105,98,91,0
705,113,109,106,0
706,98,94,91,0
707,116,112,109,0
708,97,94,90,0
709,104,100,97,0
710,95,90,85,0
711,86,80,74,0
712,74,68,62,0
828,85,78,70,0
829,118,111,103,0
830,118,111,103,0
831,104,97,89,0
832,111,104,96,0
833,117,113,107,0
834,114,110,104,0
835,105,101,95,0
836,121,116,111,0
837,118,113,108,0
838,99,95,89,0
839,87,83,78,0
840,86,83,77,0
841,85,81,76,0
842,95,91,86,0
955,97,90,82,0
956,93,86,78,0
957,131,124,116,0
958,112,105,97,0
959,143,136,128,0
960,96,89,81,0
961,127,120,114,0
962,153,146,140,0
963,181,174,168,0
964,154,147,140,0
965,98,91,85,0
966,104,100,94,0
967,82,82,77,0
968,82,81,77,0
969,94,93,89,0
970,99,98,94,0
971,83,82,78,0
1083,94,87,79,0
1084,110,103,95,0
1085,115,108,100,0
1086,109,102,94,0
1087,106,99,91,0
1088,112,105,97,0
1089,161,154,146,0
1090,137,130,122,0
1091,120,113,105,0
1092,148,141,133,0
1093,172,165,157,0
1094,135,132,125,0
1095,101,102,97,0
1096,89,90,85,0
1097,102,103,98,0
1098,99,100,95,0
1099,74,75,70,0
1100,80,71,66,0
1211,95,87,82,0
1212,112,101,101,0
1213,96,88,91,0
1214,105,98,102,0
1215,127,122,121,0
1216,120,115,111,0
1217,142,134,124,0
1218,105,95,84,0
1219,104,92,78,0
1220,117,102,86,0
1221,131,115,97,0
1222,176,161,146,0
1223,123,113,103,0
1224,96,89,81,0
1225,113,108,105,0
1226,89,87,89,0
1227,75,75,80,0
1228,105,98,97,0
1229,87,78,75,0
1339,100,91,87,0
1340,109,99,99,0
1341,115,106,111,0
1342,104,97,103,0
1343,114,109,110,0
1344,114,109,105,0
1345,158,150,142,0
1346,119,109,99,0
1347,109,96,84,0
1348,119,103,87,0
1349,122,103,87,0
1350,145,128,112,0
1351,165,153,141,0
1352,130,121,113,0
1353,124,118,114,0
1354,81,77,80,0
1355,99,97,102,0
1356,101,95,94,0
1357,97,89,86,0
1358,85,77,73,0
1467,89,79,73,0
1468,115,105,105,0
1469,133,124,128,0
1470,120,114,117,0
1471,113,109,107,0
1472,121,118,113,0
1473,154,147,141,0
1474,108,98,90,0
1475,114,101,92,0
1476,108,92,80,0
1477,114,96,81,0
1478,110,93,79,0
1479,155,143,130,0
1480,166,156,145,0
1481,121,113,107,0
1482,100,97,93,0
1483,99,98,97,0
1484,95,91,86,0
1485,126,121,115,0
1486,98,91,85,0
1487,91,83,78,0
1595,85,76,69,0
1596,131,121,119,0
1597,144,135,138,0
1598,131,125,126,0
1599,115,110,108,0
1600,119,115,111,0
1601,134,127,125,0
1602,154,145,143,0
1603,116,104,97,0
1604,113,96,89,0
1605,113,95,85,0
1606,119,102,88,0
1607,101,87,74,0
1608,163,151,140,0
1609,164,157,147,0
1610,117,113,104,0
1611,109,107,100,0
1612,115,112,103,0
1613,122,118,109,0
1614,85,81,72,0
1615,119,112,104,0
1724,95,85,82,0
1725,109,100,102,0
1726,123,117,118,0
1727,106,102,98,0
1728,117,113,108,0
1729,123,117,119,0
1730,163,155,155,0
1731,155,143,140,0
1732,123,108,102,0
1733,101,83,76,0
1734,118,101,89,0
1735,115,101,86,0
1736,118,107,92,0
1737,146,139,125,0
1738,152,148,135,0
1739,117,115,102,0
1740,113,111,100,0
1741,108,105,95,0
1742,117,113,103,0
1743,84,80,70,0
1744,82,75,66,0
1852,78,69,65,0
1853,92,83,84,0
1854,127,121,123,0
1855,117,113,109,0
1856,106,103,98,0
1857,112,106,110,0
1858,100,92,94,0
1859,153,142,141,0
1860,129,114,111,0
1861,126,108,104,0
1862,105,88,77,0
1863,114,98,83,0
1864,122,110,94,0
1865,112,104,88,0
1866,161,158,142,0
1867,130,129,112,0
1868,121,120,106,0
1869,103,101,89,0
1870,130,127,116,0
1871,82,78,67,0
1980,81,73,63,0
1981,93,86,78,0
1982,113,108,104,0
1983,114,110,108,0
1984,122,119,119,0
1985,96,101,101,0
1986,102,103,103,0
1987,142,136,135,0
1988,149,136,135,0
1989,124,105,103,0
1990,106,88,83,0
1991,106,91,83,0
1992,108,94,82,0
1993,110,97,82,0
1994,136,125,107,0
1995,171,160,140,0
1996,140,141,125,0
1997,101,104,90,0
1998,110,112,99,0
1999,103,103,91,0
2000,136,133,124,0
2062,80,88,91,0
2063,122,129,134,0
2109,97,90,82,0
2110,106,102,96,0
2111,96,92,89,0
2112,100,98,97,0
2113,90,95,95,0
2114,102,102,102,0
2115,122,116,115,0
2116,147,134,133,0
2117,126,109,107,0
2118,113,95,90,0
2119,102,85,77,0
2120,96,80,69,0
2121,103,90,75,0
2122,101,90,72,0
2123,141,130,110,0
2124,158,157,141,0
2125,113,115,101,0
2126,103,103,90,0
2127,122,121,109,0
2128,135,132,123,0
2129,95,91,82,0
2130,82,76,70,0
2189,103,110,116,0
2190,194,201,207,0
2191,173,182,188,0
2237,126,119,109,0
2238,111,106,101,0
2239,102,98,95,0
2240,85,82,81,0
2241,101,106,107,0
2242,114,117,116,0
2243,109,104,103,0
2244,152,142,140,0
2245,127,112,109,0
2246,110,92,87,0
2247,100,83,75,0
2248,92,75,64,0
2249,94,80,65,0
2250,112,100,82,0
2251,104,92,72,0
2252,153,148,134,0
2253,163,159,147,0
2254,127,124,112,0
2255,112,108,97,0
2256,117,113,104,0
2257,144,141,132,0
2258,97,92,86,0
2316,72,77,80,0
2317,214,222,230,0
2318,216,225,233,0
2319,219,229,233,0
2320,94,104,113,0
2321,87,98,108,0
2365,118,112,101,0
2366,121,118,110,0
2367,130,126,122,0
2368,117,115,112,0
2369,109,117,116,0
2370,124,127,126,0
2371,106,103,101,0
2372,158,148,146,0
2373,122,107,104,0
2374,110,92,88,0
2375,97,78,71,0
2376,93,76,66,0
2377,93,77,63,0
2378,86,72,55,0
2379,96,83,64,0
2380,105,93,81,0
2381,169,160,149,0
2382,138,130,120,0
2383,134,126,116,0
2384,109,105,96,0
2385,111,108,99,0
2386,110,106,99,0
2444,170,176,179,0
2445,214,223,232,0
2446,215,225,234,0
2447,206,216,226,0
2448,117,128,139,0
2449,126,138,149,0
2450,69,77,85,0
2493,102,96,84,0
2494,129,125,117,0
2495,128,125,120,0
2496,120,117,115,0
2497,108,117,116,0
2498,116,120,119,0
2499,100,97,95,0
2500,154,145,143,0
2501,90,76,73,0
2502,109,92,87,0
2503,100,81,74,0
2504,86,68,58,0
2505,90,74,60,0
2506,89,73,57,0
2507,94,80,61,0
2508,98,82,71,0
2509,115,99,91,0
2510,169,158,149,0
2511,126,117,108,0
2512,117,111,102,0
2513,100,97,88,0
2514,128,125,118,0
2515,96,93,88,0
2516,86,81,77,0
2571,78,81,85,0
2572,201,206,210,0
2573,147,156,165,0
2574,190,200,210,0
2575,203,213,222,0
2576,121,133,144,0
2577,94,105,116,0
2578,174,181,191,0
2579,82,83,89,0
2582,90,92,97,0
2583,88,90,95,0
2622,111,108,98,0
2623,138,134,128,0
2624,143,141,136,0
2625,115,124,123,0
2626,122,127,125,0
2627,117,116,113,0
2628,169,161,158,0
2629,103,90,86,0
2630,109,93,87,0
2631,104,85,77,0
2632,100,83,72,0
2633,87,71,57,0
2635,96,79,61,0
2636,105,86,76,0
2637,106,89,80,0
2638,143,129,120,0
2639,178,169,159,0
2640,131,125,117,0
2641,96,93,84,0
2642,82,80,72,0
2643,74,71,66,0
2644,86,82,77,0
2699,131,132,138,0
2700,105,106,114,0
2701,80,84,96,0
2702,159,162,174,0
2703,171,175,185,0
2704,107,111,118,0
2705,154,158,165,0
2706,175,179,192,0
2709,89,101,97,0
2710,121,132,130,0
2711,123,133,137,0
2712,71,72,89,0
2750,103,95,89,0
2751,110,100,93,0
2752,153,143,137,0
2753,131,137,135,0
2754,110,115,111,0
2755,107,110,103,0
2756,156,158,148,0
2757,100,101,89,0
2758,98,97,82,0
2759,96,90,74,0
2760,93,83,69,0
2761,93,76,64,0
2762,99,73,64,0
2763,103,73,65,0
2764,99,72,62,0
2765,109,85,74,0
2766,104,86,74,0
2767,153,141,129,0
2768,151,146,134,0
2769,99,97,85,0
2770,99,105,91,0
2771,114,116,103,0
2772,103,100,88,0
2827,68,67,72,0
2830,168,168,177,0
2831,130,131,139,0
2832,106,107,114,0
2833,134,134,142,0
2834,92,96,110,0
2837,147,158,154,0
2838,89,99,98,0
2839,133,143,147,0
2840,77,83,100,0
2878,98,90,84,0
2879,114,104,98,0
2880,132,122,116,0
2881,113,120,117,0
2882,113,118,114,0
2883,109,111,104,0
2884,158,158,148,0
2885,108,106,94,0
2886,102,98,84,0
2887,98,90,74,0
2888,90,78,64,0
2889,86,70,57,0
2890,91,69,58,0
2891,98,72,63,0
2892,101,75,68,0
2893,98,76,67,0
2894,101,83,73,0
2895,101,89,77,0
2896,178,171,160,0
2897,121,117,105,0
2898,120,122,108,0
2899,112,112,99,0
2900,88,84,73,0
2901,104,94,86,0
2902,79,65,59,0
2958,137,135,140,0
2959,101,99,105,0
2960,68,66,73,0
2964,123,132,138,0
2965,184,192,189,0
2966,163,173,171,0
2967,169,181,184,0
2968,104,116,133,0
2969,72,86,110,0
2972,66,73,84,0
2973,94,95,95,0
2974,67,63,79,0
3006,92,84,78,0
3007,117,107,100,0
3008,138,129,123,0
3009,106,115,112,0
3010,114,120,116,0
3011,120,122,115,0
3012,165,163,154,0
3013,114,108,98,0
3014,100,91,79,0
3015,101,88,76,0
3016,95,81,70,0
3017,92,76,66,0
3018,93,76,65,0
3019,96,77,68,0
3020,106,84,78,0
3021,103,84,77,0
3022,95,78,70,0
3023,97,83,74,0
3024,131,123,110,0
3025,153,147,132,0
3026,104,104,88,0
3027,108,106,92,0
3028,96,92,81,0
3029,108,101,92,0
3085,104,99,99,0
3086,122,116,119,0
3087,94,88,94,0
3091,55,66,82,0
3092,198,204,211,0
3093,226,228,227,0
3094,211,220,218,0
3095,171,185,188,0
