id,dim1,dim2,dim3,cid
328,33,22,16,1
329,29,18,12,1
330,33,22,16,1
331,31,20,14,1
332,31,21,15,1
333,36,29,22,1
334,42,35,29,1
335,37,32,28,1
336,30,25,22,1
337,27,22,19,1
338,23,24,18,1
339,23,24,18,1
340,22,23,18,1
341,21,22,17,1
342,20,20,18,1
343,20,20,18,1
344,19,18,16,1
345,19,18,16,1
346,20,19,17,1
347,21,20,18,1
348,21,20,18,1
349,21,20,18,1
350,20,19,17,1
351,20,19,17,1
352,20,19,17,1
353,21,20,18,1
354,21,20,18,1
355,19,18,15,1
356,18,17,13,1
357,18,17,13,1
358,18,17,13,1
359,18,17,13,1
360,18,17,13,1
361,20,19,15,1
362,20,19,15,1
363,19,18,14,1
364,19,18,14,1
365,18,17,13,1
366,18,17,13,1
367,16,15,11,1
368,16,15,11,1
369,16,15,11,1
370,16,15,11,1
371,16,15,11,1
372,16,15,11,1
373,16,15,11,1
374,15,14,10,1
375,15,14,10,1
376,14,13,9,1
377,14,13,9,1
378,14,13,9,1
379,14,13,9,1
380,14,13,9,1
381,14,13,9,1
382,14,13,9,1
383,14,13,9,1
384,14,13,9,1
385,27,29,26,1
386,27,29,26,1
387,24,26,23,1
388,24,26,23,1
389,25,27,24,1
390,27,29,26,1
391,24,26,23,1
392,23,25,22,1
393,23,25,22,1
394,22,24,21,1
395,21,23,20,1
396,22,24,21,1
397,26,28,25,1
398,24,26,23,1
399,21,23,20,1
400,20,22,19,1
401,23,25,22,1
402,25,26,24,1
403,29,29,27,1
404,25,25,23,1
405,22,22,20,1
406,24,24,22,1
407,22,22,20,1
408,22,22,20,1
409,22,22,20,1
410,23,23,21,1
411,23,23,21,1
412,22,22,20,1
413,22,22,20,1
414,23,23,21,1
415,23,23,21,1
416,23,23,21,1
417,23,23,21,1
418,23,23,21,1
419,23,23,21,1
420,20,20,18,1
421,20,20,18,1
422,20,20,18,1
423,20,20,18,1
424,20,20,18,1
425,21,21,19,1
426,22,24,21,1
427,23,25,22,1
428,23,25,22,1
429,22,24,21,1
430,20,22,19,1
431,21,23,20,1
432,21,23,20,1
433,20,22,19,1
434,22,24,21,1
435,23,25,22,1
436,23,25,22,1
437,23,25,20,1
438,26,27,22,1
439,26,26,21,1
440,26,26,21,1
441,24,23,17,1
442,27,26,20,1
443,36,30,25,1
444,33,27,21,1
445,43,37,31,1
453,60,57,54,1
454,62,56,51,1
456,48,39,32,1
457,34,24,17,1
458,27,17,11,1
459,27,17,12,1
460,29,21,14,1
461,39,33,25,1
462,38,32,26,1
463,31,26,22,1
464,28,23,20,1
465,26,21,18,1
466,26,25,20,1
467,25,24,19,1
468,23,23,19,1
469,22,22,18,1
