id,dim1,dim2,dim3,cid
959,143,136,128,0
962,153,146,140,0
963,181,174,168,0
964,154,147,140,0
1089,161,154,146,0
1090,137,130,122,0
1092,148,141,133,0
1093,172,165,157,0
1094,135,132,125,0
1217,142,134,124,0
1222,176,161,146,0
1345,158,150,142,0
1350,145,128,112,0
1351,165,153,141,0
1469,133,124,128,0
1473,154,147,141,0
1479,155,143,130,0
1480,166,156,145,0
1597,144,135,138,0
1598,131,125,126,0
1601,134,127,125,0
1602,154,145,143,0
1608,163,151,140,0
1609,164,157,147,0
1730,163,155,155,0
1731,155,143,140,0
1737,146,139,125,0
1738,152,148,135,0
1859,153,142,141,0
1866,161,158,142,0
1987,142,136,135,0
1988,149,136,135,0
1995,171,160,140,0
1996,140,141,125,0
2000,136,133,124,0
2063,122,129,134,0
2116,147,134,133,0
2123,141,130,110,0
2124,158,157,141,0
2128,135,132,123,0
2190,194,201,207,0
2191,173,182,188,0
2244,152,142,140,0
2252,153,148,134,0
2253,163,159,147,0
2257,144,141,132,0
2317,214,222,230,0
2318,216,225,233,0
2319,219,229,233,0
2367,130,126,122,0
2372,158,148,146,0
2381,169,160,149,0
2382,138,130,120,0
2383,134,126,116,0
2444,170,176,179,0
2445,214,223,232,0
2446,215,225,234,0
2447,206,216,226,0
2448,117,128,139,0
2449,126,138,149,0
2500,154,145,143,0
2510,169,158,149,0
2572,201,206,210,0
2573,147,156,165,0
2574,190,200,210,0
2575,203,213,222,0
2576,121,133,144,0
2578,174,181,191,0
2623,138,134,128,0
2624,143,141,136,0
2628,169,161,158,0
2638,143,129,120,0
2639,178,169,159,0
2699,131,132,138,0
2702,159,162,174,0
2703,171,175,185,0
2705,154,158,165,0
2706,175,179,192,0
2710,121,132,130,0
2711,123,133,137,0
2752,153,143,137,0
2753,131,137,135,0
2756,156,158,148,0
2767,153,141,129,0
2768,151,146,134,0
2830,168,168,177,0
2831,130,131,139,0
2833,134,134,142,0
2837,147,158,154,0
2839,133,143,147,0
2884,158,158,148,0
2896,178,171,160,0
2958,137,135,140,0
2964,123,132,138,0
2965,184,192,189,0
2966,163,173,171,0
2967,169,181,184,0
3008,138,129,123,0
3012,165,163,154,0
3025,153,147,132,0
3092,198,204,211,0
3093,226,228,227,0
3094,211,220,218,0
3095,171,185,188,0
3096,126,146,164,0
3097,111,132,158,0
3100,177,182,194,0
3101,205,203,203,0
3102,168,167,185,0
3139,135,136,129,0
3140,157,152,144,0
3153,156,147,132,0
3154,147,141,124,0
3214,139,131,128,0
3219,134,147,162,0
3220,212,215,223,0
3221,221,221,221,0
3222,235,240,240,0
3223,153,169,171,0
3224,114,140,158,0
3226,113,136,165,0
3228,202,206,217,0
3229,242,239,238,0
3230,198,201,220,0
3267,157,158,152,0
3268,143,136,129,0
3282,170,162,143,0
3283,143,135,118,0
3342,153,144,142,0
3347,177,191,206,0
3348,232,236,244,0
3349,239,239,240,0
3350,179,185,185,0
3351,192,209,210,0
3352,168,195,209,0
3353,131,160,182,0
3355,166,181,204,0
3356,225,228,239,0
3357,236,230,229,0
3358,163,166,185,0
3395,165,162,157,0
3402,156,148,141,0
3403,157,152,145,0
3404,166,153,154,0
3405,151,136,137,0
3406,137,123,121,0
3410,140,129,112,0
3411,153,145,128,0
3469,151,146,140,0
3470,145,139,135,0
3475,175,188,201,0
3476,233,236,245,0
3477,201,201,204,0
3478,160,165,166,0
3479,209,225,225,0
3480,216,240,247,0
3481,175,199,214,0
3483,206,219,239,0
3484,236,238,247,0
3485,219,214,212,0
3486,140,141,157,0
3492,130,133,139,0
3520,145,134,128,0
3521,128,128,124,0
3523,159,153,148,0
3528,158,145,138,0
3529,150,140,135,0
3535,161,151,144,0
3539,145,138,123,0
3599,135,130,130,0
3603,152,162,172,0
3604,168,170,176,0
3605,147,147,150,0
3606,164,168,169,0
3607,216,228,229,0
3608,210,228,235,0
3610,139,157,174,0
3611,225,237,253,0
3612,233,235,244,0
3613,205,201,201,0
3619,138,143,135,0
3620,211,215,216,0
3621,135,139,145,0
3648,139,128,122,0
3650,147,143,140,0
3651,147,140,136,0
3655,162,149,140,0
3656,160,148,143,0
3664,153,144,135,0
3668,166,161,149,0
3721,131,139,140,0
3723,128,133,136,0
3733,153,153,151,0
3734,155,158,158,0
3735,167,174,177,0
3738,172,184,197,0
3739,228,237,248,0
3740,228,231,235,0
3741,149,147,148,0
3747,204,208,191,0
3748,188,193,186,0
3749,142,147,148,0
3776,139,127,121,0
3778,168,161,159,0
3783,174,165,156,0
3789,139,134,133,0
3792,148,141,134,0
3793,146,139,130,0
3796,148,141,130,0
3849,122,134,135,0
3851,123,131,138,0
3858,131,132,133,0
3859,137,139,142,0
3860,135,137,134,0
3863,135,137,141,0
3866,147,153,161,0
3867,231,239,243,0
3868,188,192,195,0
3875,216,222,197,0
3876,166,171,157,0
3877,146,154,151,0
3882,160,170,182,0
3883,163,175,187,0
3904,141,129,123,0
3905,152,140,140,0
3906,161,151,150,0
3910,141,135,127,0
3911,147,143,134,0
3917,130,129,125,0
3918,146,144,140,0
3919,147,144,139,0
3920,131,127,122,0
3921,157,152,146,0
3925,153,147,136,0
3926,135,129,119,0
3976,121,138,137,0
3977,154,169,172,0
3978,147,160,166,0
3985,195,198,195,0
3986,149,151,149,0
3987,135,134,133,0
3989,130,132,126,0
3990,137,138,137,0
3993,131,128,135,0
3994,159,162,165,0
3995,169,176,177,0
4002,168,173,143,0
4003,208,213,183,0
4004,144,149,131,0
4005,196,205,198,0
4006,155,167,177,0
4011,185,199,212,0
4033,154,140,140,0
4038,165,160,151,0
4041,146,139,137,0
4044,131,129,126,0
4046,137,136,132,0
4047,128,127,122,0
4050,159,155,146,0
4054,171,162,152,0
4055,142,132,122,0
4104,173,179,178,0
4105,206,211,213,0
4106,184,190,195,0
4112,125,134,132,0
4113,189,198,193,0
4114,179,187,188,0
4115,128,137,148,0
4121,136,137,151,0
4122,131,132,134,0
4124,148,152,149,0
4130,188,191,162,0
4131,159,166,132,0
4133,215,227,212,0
4134,130,141,139,0
4139,144,158,166,0
4140,160,176,183,0
4141,155,171,177,0
4142,127,143,150,0
4161,161,152,139,0
4166,160,157,151,0
4175,149,144,143,0
4178,142,137,131,0
4179,136,131,122,0
4182,166,154,143,0
4183,140,127,117,0
4232,182,183,182,0
4233,206,207,209,0
4240,171,181,178,0
4241,160,171,165,0
4242,178,188,189,0
4244,116,134,148,0
4250,153,152,155,0
4251,146,145,140,0
4253,129,136,138,0
4254,143,145,144,0
4258,131,133,112,0
4264,208,202,217,0
4265,193,187,203,0
4266,173,185,191,0
4267,138,150,156,0
4268,198,210,216,0
4269,215,228,233,0
4272,121,129,132,0
4273,134,142,145,0
4288,150,142,129,0
4293,163,160,153,0
4294,131,128,123,0
4306,133,128,122,0
4307,154,149,142,0
4311,150,136,125,0
4367,132,139,140,0
4368,173,182,178,0
4369,175,186,177,0
4370,161,172,170,0
4371,137,148,159,0
4372,197,213,227,0
4373,198,217,234,0
4374,143,160,181,0
4377,158,160,172,0
4378,167,166,169,0
4392,219,218,226,0
4393,232,231,238,0
4394,181,191,195,0
4395,153,163,167,0
4396,207,217,222,0
4397,175,185,190,0
4400,167,175,178,0
4401,177,185,188,0
4402,139,147,150,0
4416,167,159,146,0
4421,176,173,167,0
4434,141,138,132,0
4435,155,150,143,0
4436,137,129,121,0
