id,dim1,dim2,dim3,cid
319,71,64,56,0
320,76,68,61,0
321,84,80,77,0
322,108,104,101,2
323,120,116,113,2
324,107,103,100,2
325,79,75,72,0
326,62,55,50,0
327,48,37,31,0
328,33,22,16,0
329,29,18,12,0
330,33,22,16,0
331,31,20,14,0
332,31,21,15,0
333,36,29,22,0
334,42,35,29,0
335,37,32,28,0
336,30,25,22,0
337,27,22,19,0
338,23,24,18,0
339,23,24,18,0
340,22,23,18,0
341,21,22,17,0
342,20,20,18,0
343,20,20,18,0
344,19,18,16,0
345,19,18,16,0
346,20,19,17,0
347,21,20,18,0
348,21,20,18,0
349,21,20,18,0
350,20,19,17,0
351,20,19,17,0
352,20,19,17,0
353,21,20,18,0
354,21,20,18,0
355,19,18,15,0
356,18,17,13,0
357,18,17,13,0
358,18,17,13,0
359,18,17,13,0
360,18,17,13,0
361,20,19,15,0
362,20,19,15,0
363,19,18,14,0
364,19,18,14,0
365,18,17,13,0
366,18,17,13,0
367,16,15,11,0
368,16,15,11,0
369,16,15,11,0
370,16,15,11,0
371,16,15,11,0
372,16,15,11,0
373,16,15,11,0
374,15,14,10,0
375,15,14,10,0
376,14,13,9,0
377,14,13,9,0
378,14,13,9,0
379,14,13,9,0
380,14,13,9,0
381,14,13,9,0
382,14,13,9,0
383,14,13,9,0
384,14,13,9,0
385,27,29,26,0
386,27,29,26,0
387,24,26,23,0
388,24,26,23,0
389,25,27,24,0
390,27,29,26,0
391,24,26,23,0
392,23,25,22,0
393,23,25,22,0
394,22,24,21,0
395,21,23,20,0
396,22,24,21,0
397,26,28,25,0
398,24,26,23,0
399,21,23,20,0
400,20,22,19,0
401,23,25,22,0
402,25,26,24,0
403,29,29,27,0
404,25,25,23,0
405,22,22,20,0
406,24,24,22,0
407,22,22,20,0
408,22,22,20,0
409,22,22,20,0
410,23,23,21,0
411,23,23,21,0
412,22,22,20,0
413,22,22,20,0
414,23,23,21,0
415,23,23,21,0
416,23,23,21,0
417,23,23,21,0
418,23,23,21,0
419,23,23,21,0
420,20,20,18,0
421,20,20,18,0
422,20,20,18,0
423,20,20,18,0
424,20,20,18,0
425,21,21,19,0
426,22,24,21,0
427,23,25,22,0
428,23,25,22,0
429,22,24,21,0
430,20,22,19,0
431,21,23,20,0
432,21,23,20,0
433,20,22,19,0
434,22,24,21,0
435,23,25,22,0
436,23,25,22,0
437,23,25,20,0
438,26,27,22,0
439,26,26,21,0
440,26,26,21,0
441,24,23,17,0
442,27,26,20,0
443,36,30,25,0
444,33,27,21,0
445,43,37,31,0
446,71,64,57,0
447,100,93,85,2
448,75,68,61,0
449,83,81,77,0
450,87,85,81,2
451,104,102,98,2
452,95,92,89,2
453,60,57,54,0
454,62,56,51,0
455,70,60,54,0
456,48,39,32,0
457,34,24,17,0
458,27,17,11,0
459,27,17,12,0
460,29,21,14,0
461,39,33,25,0
462,38,32,26,0
463,31,26,22,0
464,28,23,20,0
465,26,21,18,0
466,26,25,20,0
467,25,24,19,0
468,23,23,19,0
469,22,22,18,0
470,22,22,20,0
471,22,22,20,0
472,21,20,18,0
473,20,19,17,0
474,20,19,17,0
475,20,19,17,0
476,21,20,18,0
477,22,21,19,0
478,20,19,17,0
479,21,20,18,0
480,20,19,17,0
